shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
M2,30.124779,31.242896,105
M1,29.848824,31.334252,0
M1,29.851113,31.334145,1
M1,29.852202,31.333662,2
M1,29.854695,31.331388,3
M1,29.861209,31.326045,4
M1,29.862604,31.325026,5
M1,29.868503,31.320713,6
M1,29.876048,31.315327,7
M1,29.880328,31.312795,8
M1,29.890606,31.307312,9
M1,29.897192,31.30404,10
M1,29.903907,31.300639,11
M1,29.909506,31.298043,12
M1,29.917178,31.29432,13
M1,29.919382,31.29329,14
M1,29.920544,31.292517,15
M1,29.922236,31.290613,16
M1,29.923931,31.288966,17
M1,29.924301,31.288607,18
M1,29.925874,31.287628,19
M1,29.927364,31.28671,20
M1,29.927941,31.286386,21
M1,29.928617,31.286007,22
M1,29.92991,31.285283,23
M1,29.931437,31.284366,24
M1,29.932144,31.283948,25
M1,29.933954,31.282912,26
M1,29.93616,31.281665,27
M1,29.938589,31.280281,28
M1,29.941771,31.278492,29
M1,29.94185,31.278452,30
M1,29.943168,31.27743,31
M1,29.943619,31.277086,32
M1,29.944125,31.276499,33
M1,29.94492,31.275558,34
M1,29.945566,31.274603,35
M1,29.946505,31.273178,36
M1,29.947579,31.271438,37
M1,29.948399,31.270086,38
M1,29.948915,31.269249,39
M1,29.949905,31.267605,40
M1,29.951318,31.265295,41
M1,29.951388,31.265191,42
M1,29.952539,31.263769,43
M1,29.953182,31.263075,44
M1,29.953933,31.262404,45
M1,29.955248,31.261369,46
M1,29.956863,31.260202,47
M1,29.957988,31.259389,48
M1,29.960061,31.257909,49
M1,29.961613,31.256761,50
M1,29.963128,31.255648,51
M1,29.964992,31.254301,52
M1,29.968117,31.25204,53
M1,29.971036,31.249918,54
M1,29.973148,31.248363,55
M1,29.97341,31.248178,56
M1,29.974672,31.247349,57
M1,29.976175,31.246308,58
M1,29.977497,31.245326,59
M1,29.978594,31.244516,60
M1,29.979523,31.243851,61
M1,29.983329,31.241072,62
M1,29.985912,31.239152,63
M1,29.989072,31.236845,64
M1,29.990893,31.235536,65
M1,29.992668,31.233895,66
M1,29.996961,31.229914,67
M1,29.997732,31.229464,68
M1,29.999084,31.229013,69
M1,30.000022,31.228809,70
M1,30.000714,31.228788,71
M1,30.002461,31.229013,72
M1,30.004157,31.22926,73
M1,30.006117,31.229571,74
M1,30.008189,31.23,75
M1,30.008881,31.230086,76
M1,30.010279,31.229984,77
M1,30.011715,31.229877,78
M1,30.013308,31.229898,79
M1,30.014325,31.230124,80
M1,30.015175,31.230424,81
M1,30.017461,31.2311,82
M1,30.02179,31.23242,83
M1,30.02296,31.232725,84
M1,30.024288,31.232951,85
M1,30.02616,31.233246,86
M1,30.027033,31.233584,87
M1,30.027614,31.233975,88
M1,30.02924,31.235429,89
M1,30.029699,31.235853,90
M1,30.030405,31.236373,91
M1,30.030846,31.236577,92
M1,30.031134,31.236695,93
M1,30.033308,31.237194,94
M1,30.03436,31.237473,95
M1,30.036405,31.23802,96
M1,30.0369,31.238143,97
M1,30.03709,31.238197,98
M1,30.037599,31.238245,99
M1,30.038881,31.238371,100
M1,30.0398,31.238151,101
M1,30.040578,31.237974,102
M1,30.040933,31.237878,103
M1,30.042296,31.23684,104
M1,30.043924,31.23566,105
M1,30.044969,31.23544,106
M1,30.045937,31.235257,107
M1,30.046571,31.235008,108
M1,30.047119,31.23482,109
M1,30.047968,31.234785,110
M1,30.049454,31.234767,111
M1,30.049837,31.234772,112
M1,30.051307,31.236362,113
M1,30.054311,31.23956,114
M1,30.058081,31.243379,115
M1,30.06031,31.245482,116
M1,30.06161,31.246212,117
M1,30.062385,31.248255,118
M1,30.063175,31.250278,119
M1,30.06376,31.251753,120
M1,30.064846,31.254387,121
M1,30.066931,31.259569,122
M1,30.068685,31.263925,123
M1,30.069224,31.265566,124
M1,30.070282,31.267315,125
M1,30.071462,31.268946,126
M1,30.07278,31.270351,127
M1,30.073699,31.271414,128
M1,30.075166,31.273538,129
M1,30.075677,31.274353,130
M1,30.076698,31.276714,131
M1,30.078936,31.281885,132
